"titles" "pubdates" "links" "Trade.Time" "Last" "Trade.Time.1" "Last.1" "Trade.Time.2" "Last.2"
70 "CHK INVESTOR ALERT: The Law Offices of Vincent Wong Reminds Investors of a Class Action Involving Chesapeake Energy Corporation and a Lead Plaintiff Deadline of December 5, 2016" "Fri, 04 Nov 2016 15:46:23 GMT" NA "Nov 4, 11:46AM EDT" 5.37 "Nov 4, 12:06PM EDT" 5.34 "Nov 4, 12:46PM EDT"
71 "WELLS FARGO & COMPANY/MN Files SEC form 8-K, Financial Statements and Exhibits" "Fri, 04 Nov 2016 15:49:18 GMT" NA "Nov 4, 11:52AM EDT" 45.04 "Nov 4, 12:12PM EDT" 45.13 "Nov 4, 12:52PM EDT"
72 "U.S. tentatively approves Delta-Aeromexico venture" "Fri, 04 Nov 2016 15:48:27 GMT" NA "Nov 4, 11:51AM EDT" 42.66 "Nov 4, 12:11PM EDT" 42.81 "Nov 4, 12:52PM EDT"
73 "Tasiast May Finally Be Ready to Shine for Kinross Gold" "Fri, 04 Nov 2016 15:51:25 GMT" NA "Nov 4, 11:58AM EDT" 4.13 "Nov 4, 12:17PM EDT" 4.11 "Nov 4, 12:57PM EDT"
74 "Twitter Latam exec sees customer service strategy as key to revenue boost" "Fri, 04 Nov 2016 16:01:29 GMT" NA "Nov 4, 12:04PM EDT" 18 "Nov 4, 12:24PM EDT" 18.12 "Nov 4, 1:04PM EDT"
75 "Twitter Latam executive sees customer service strategy as key to revenue boost" "Fri, 04 Nov 2016 16:05:54 GMT" NA "Nov 4, 12:06PM EDT" 18 "Nov 4, 12:26PM EDT" 18.14 "Nov 4, 1:06PM EDT"
76 "Twitter Latam exec sees customer service strategy as key to revenue boost" "Fri, 04 Nov 2016 16:01:29 GMT" NA "Nov 4, 12:08PM EDT" 45.08 "Nov 4, 12:28PM EDT" 45.09 "Nov 4, 1:08PM EDT"
77 "Tasiast May Finally Be Ready to Shine for Kinross Gold" "Fri, 04 Nov 2016 15:51:25 GMT" NA "Nov 4, 12:08PM EDT" 5.37 "Nov 4, 12:28PM EDT" 5.34 "Nov 4, 1:08PM EDT"
78 "Disney Disputes Nielsen on ESPN Subscriber Losses (DIS)" "Fri, 04 Nov 2016 15:51:00 GMT" NA "Nov 4, 12:08PM EDT" 5.37 "Nov 4, 12:28PM EDT" 5.34 "Nov 4, 1:08PM EDT"
79 "WELLS FARGO & COMPANY/MN Files SEC form 8-K, Financial Statements and Exhibits" "Fri, 04 Nov 2016 15:49:18 GMT" NA "Nov 4, 12:08PM EDT" 18.04 "Nov 4, 12:28PM EDT" 18.14 "Nov 4, 1:08PM EDT"
80 "U.S. tentatively approves Delta-Aeromexico venture" "Fri, 04 Nov 2016 15:48:27 GMT" NA "Nov 4, 12:08PM EDT" 11.46 "Nov 4, 12:28PM EDT" 11.48 "Nov 4, 1:08PM EDT"
81 "CHK INVESTOR ALERT: The Law Offices of Vincent Wong Reminds Investors of a Class Action Involving Chesapeake Energy Corporation and a Lead Plaintiff Deadline of December 5, 2016" "Fri, 04 Nov 2016 15:46:23 GMT" NA "Nov 4, 12:08PM EDT" 11.46 "Nov 4, 12:28PM EDT" 11.48 "Nov 4, 1:08PM EDT"
82 "2017 F-150 Raptor Ordering Begins, Online and In-Line at Ford Dealers: SuperCrew, Luxury Group with Technology Package in Shadow Black is the Top Configuration" "Fri, 04 Nov 2016 15:41:05 GMT" NA "Nov 4, 12:07PM EDT" 4.12 "Nov 4, 12:28PM EDT" 4.11 "Nov 4, 1:08PM EDT"
83 "Why Chesapeake Energy Can Double" "Fri, 04 Nov 2016 15:32:00 GMT" NA "Nov 4, 12:08PM EDT" 7.35 "Nov 4, 12:28PM EDT" 7.39 "Nov 4, 1:08PM EDT"
84 "Ford Canada labor deal investment mainly for engines-sources" "Fri, 04 Nov 2016 15:25:58 GMT" NA "Nov 4, 12:08PM EDT" 42.75 "Nov 4, 12:28PM EDT" 42.93 "Nov 4, 1:08PM EDT"
85 "Buffetts Berkshire Hathaway Expected to See Stable Growth in 3Q16" "Fri, 04 Nov 2016 15:25:14 GMT" NA "Nov 4, 12:08PM EDT" 93.38 "Nov 4, 12:28PM EDT" 93.34 "Nov 4, 1:08PM EDT"
86 "Heres Why ENSCO PLC (ESV), Yum! Brands, Inc. (YUM), and Three Other Stocks Are Trending Today" "Fri, 04 Nov 2016 15:10:49 GMT" NA "Nov 4, 12:08PM EDT" 143.4 "Nov 4, 12:28PM EDT" 143.46 "Nov 4, 1:08PM EDT"
87 "Twitter Latam executive sees customer service strategy as key to revenue boost" "Fri, 04 Nov 2016 16:05:54 GMT" NA "Nov 4, 12:09PM EDT" 18.05 "Nov 4, 12:29PM EDT" 18.14 "Nov 4, 1:09PM EDT"
